"SCD_RxCUI","Status","DF_str","SCD_str","ROUTE_rxt","NEWDF_rxt","Original Term Name","Original Term Source","Proposed Attribute ID","Proposed Attribute Category","Proposed Attribute Attribute","Proposed Term ID","Proposed Term Parent ID","Proposed Term Name"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Nasal","RxTerms","5","Administration","Route","559","0","Nasal route"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Nasal Inhaler","NDFRT","7","Delivery Device","Type","437","0","Inhaler"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Nasal Inhaler","NDFRT","6","Administration","Method","452","0","Inhalation"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Nasal Inhaler","NDFRT","5","Administration","Route","559","0","Nasal route"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Nasal Inhaler","NDFRT","2","Dose Form","Delivery Form","394","0","Aerosol"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Inhaler 8 puff","RxTerms","8","Delivery Device","Capacity","699","0","8 puff"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Inhaler 8 puff","RxTerms","7","Delivery Device","Type","437","0","Inhaler"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Inhaler 8 puff","RxTerms","6","Administration","Method","452","0","Inhalation"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Inhaler 8 puff","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"992420","Complete","Nasal Inhaler","8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 8 puff","Inhaler 8 puff","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"968023","Complete","Prefilled Applicator","500 MG Benzoyl Peroxide 55 MG/ML Prefilled Applicator","Prefilled Applicator","Prefilled Applicator 500 mg","Prefilled Applicator","RxTerms","7","Delivery Device","Type","432","431","Prefilled Applicator"
"968023","Complete","Prefilled Applicator","500 MG Benzoyl Peroxide 55 MG/ML Prefilled Applicator","Prefilled Applicator","Prefilled Applicator 500 mg","Prefilled Applicator","NDFRT","7","Delivery Device","Type","432","431","Prefilled Applicator"
"968023","Complete","Prefilled Applicator","500 MG Benzoyl Peroxide 55 MG/ML Prefilled Applicator","Prefilled Applicator","Prefilled Applicator 500 mg","Prefilled Applicator 500 mg","RxTerms","8","Delivery Device","Capacity","685","0","500 mg"
"968023","Complete","Prefilled Applicator","500 MG Benzoyl Peroxide 55 MG/ML Prefilled Applicator","Prefilled Applicator","Prefilled Applicator 500 mg","Prefilled Applicator 500 mg","RxTerms","7","Delivery Device","Type","432","431","Prefilled Applicator"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Metered Dose Inhaler","NDFRT","7","Delivery Device","Type","439","437","Metered Dose Inhaler"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Metered Dose Inhaler","NDFRT","6","Administration","Method","452","0","Inhalation"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Metered Dose Inhaler","NDFRT","5","Administration","Route","536","0","Intrapulmonary route"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Metered Dose Inhaler","NDFRT","2","Dose Form","Delivery Form","394","0","Aerosol"
